scipy,dct2V1,dct2V2,Dim.
5.569999999999187e-05,0.0017336000000000018,0.012775300000000045,10.0
7.580000000007026e-05,0.012813999999999992,0.19321499999999991,20.0
7.869999999998711e-05,0.04581029999999997,0.9775666000000001,30.0
0.00011830000000001561,0.12703189999999998,3.2447316,40.0
0.0001838000000002893,0.22438480000000016,7.5267007,50.0
0.0001614999999990374,0.3212653000000003,16.198178,60.0
0.0002761000000006675,0.5238236000000001,28.738181400000002,70.0
0.00019520000000028404,0.7929004000000006,51.56870620000001,80.0
0.0002507999999892263,1.1066644999999937,79.8446131,90.0
0.000293400000003885,1.588044999999994,120.83413380000002,100.0
0.00040869999997994455,2.0552627000000143,-,110.0
0.00048359999999547654,2.703120599999977,-,120.0
0.0006816000000071654,3.4227569000000244,-,130.0
0.000566400000025169,4.343924700000002,-,140.0
0.0005194999999957872,5.121972200000016,-,150.0
0.0005508999999506159,6.102163299999972,-,160.0
0.0007562000000120861,7.4770121000000245,-,170.0
0.0009878000000185239,9.013939600000015,-,180.0
0.0009223000000133652,10.770630900000015,-,190.0
0.0012959999999679894,12.3887158,-,200.0
